time_minutes,temperature_c,fitted_c
0.6575342465753424,320.0,319.6865243081041
3.9452054794520546,320.0,319.6865243081041
5.041095890410959,320.0,319.75166435279976
7.4520547945205475,321.7857142857143,323.11056818526964
9.972602739726028,325.3571428571429,325.80496524547
12.493150684931507,328.2142857142857,327.85966577624043
15.013698630136986,330.0,329.4265448133021
20.054794520547944,331.7857142857143,331.53261046699055
25.095890410958905,332.8571428571429,332.75735576239794
30.136986301369863,333.57142857142856,333.469584764374
35.06849315068493,333.57142857142856,333.87694590004355
39.78082191780822,333.92857142857144,334.1084746910397
